wheel_size;steer_adjustment;seats;climate;lining;seats_adjustment;seat_heat_vent;spare_wheel;third_row;elec_windows
Диски 14;Рулевая колонка с памятью положения;Количество мест: 2;Климат-контроль многозонный;Алькантара (Материал салона);Память передних сидений;Вентиляция задних сидений;Докатка;Третий задний подголовник;Электростеклоподъёмники задние
Диски 15;Электрорегулировка руля;Количество мест: 4;Климат-контроль 2-зонный;Велюр (Материал салона);Память сиденья водителя;Вентиляция передних сидений;Полноразмерное запасное колесо;Третий ряд сидений;Электростеклоподъёмники передние
Диски 16;Регулировка руля по вылету;Количество мест: 5;Климат-контроль 1-зонный;Искусственная кожа (Материал салона);Электрорегулировка задних сидений;Подогрев задних сидений;;;
Диски 17;Регулировка руля по высоте;Количество мест: 6;Кондиционер;Кожа (Материал салона);Электрорегулировка передних сидений;Подогрев передних сидений;;;
Диски 18;;Количество мест: 7;;Комбинированный (Материал салона);Электрорегулировка сиденья водителя;;;;
Диски 19;;;;Ткань (Материал салона);Регулировка передних сидений по высоте;;;;
Диски 20;;;;;Регулировка сиденья водителя по высоте;;;;
Диски 21;;;;;;;;;
Диски 22;;;;;;;;;
Диски 27;;;;;;;;;
